,Наименование продукта,Категория продукта,Подкатегория продукта,Безопасность,Качество,Общий балл,Сайт
0,"
                        Хлопья зерновые быстрого приготовления овсяные, геркулес «Дикси»                    ",Бакалея,Хлопья овсяные,5.000,4.760,4.0220,https://rskrf.ru
0,"
                        Хлопья овсяные, геркулес быстрого приготовления «Магнит»                    ",Бакалея,Хлопья овсяные,5.000,4.760,4.0220,https://rskrf.ru
0,"
                        Хлопья из 4 злаков с отрубями «Русский завтрак»                    ",Бакалея,Хлопья овсяные,5.000,4.625,3.9300,https://rskrf.ru
0,"
                        Хлопья овсяные варимые «Быстров» «Нежные»                     ",Бакалея,Хлопья овсяные,5.000,4.790,3.7700,https://rskrf.ru
0,"
                        Овсяные хлопья «Клинские» «Экстра»                    ",Бакалея,Хлопья овсяные,5.000,3.800,3.6200,https://rskrf.ru
0,"
                        Хлопья овсяные, геркулес «Каждый день»                    ",Бакалея,Хлопья овсяные,5.000,2.960,3.5720,https://rskrf.ru
0,"
                        Хлопья овсяные органические 4Life                    ",Бакалея,Хлопья овсяные,5.000,3.620,3.4940,https://rskrf.ru
0,"
                        Геркулес, хлопья овсяные «Карачиха»                    ",Бакалея,Хлопья овсяные,5.000,3.275,2.4425,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, полифлорный «Избранное» липовый «Башкирхан» «Берестов А.С.»                    ",Бакалея,Мед,5.000,5.000,5.0000,https://rskrf.ru
0,"
                        «Башкирский мёд»                    ",Бакалея,Мед,5.000,4.685,4.9100,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, фасованный «КФХ «Пчела»                    ",Бакалея,Мед,5.000,4.685,4.9055,https://rskrf.ru
0,"
                        Мёд натуральный цветочный «Пчела Маня»                    ",Бакалея,Мед,5.000,4.685,4.9055,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, полифлорный «Избранное» акациевый «Берестов А.С.»                    ",Бакалея,Мед,5.000,5.000,4.8500,https://rskrf.ru
0,"
                        Алтайский мёд, цветочный, гречишный «Медовый край»                    ",Бакалея,Мед,5.000,4.860,4.8080,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, полифлорный «Избранное» «Алтайцвет» «Майский» «Берестов А.С.»                    ",Бакалея,Мед,4.000,5.000,4.8000,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, полифлорный «Избранное «Алтайцвет» горный «Берестов А.С»                    ",Бакалея,Мед,4.000,5.000,4.8000,https://rskrf.ru
0,"
                        Мёд натуральный липовый «Башкирская медовня»                    ",Бакалея,Мед,5.000,5.000,4.7000,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, монофлорный «Избранное» «Алтайцвет» гречишный «Берестов А.С.»                    ",Бакалея,Мед,5.000,5.000,4.6750,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, полифлорный «Горный» «ГПК»                    ",Бакалея,Мед,5.000,4.685,4.6055,https://rskrf.ru
0,"
                        Мед натуральный цветочный полифлорный «Пчелкин»                    ",Бакалея,Мед,5.000,4.685,4.6055,https://rskrf.ru
0,"
                        Мёд натуральный цветочный «Щедрый край»                    ",Бакалея,Мед,4.000,4.860,4.3580,https://rskrf.ru
0,"
                        Мёд натуральный цветочный «Пчёлкин мёд»                    ",Бакалея,Мед,4.000,4.685,4.3055,https://rskrf.ru
0,"
                        Мёд натуральный «Башкирские пасеки»                    ",Бакалея,Мед,4.000,4.055,4.1165,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, разнотравье «Лесные угодья»                    ",Бакалея,Мед,4.000,5.000,4.0250,https://rskrf.ru
0,"
                        Мед акации натуральный D'arbo                    ",Бакалея,Мед,5.000,4.860,3.9830,https://rskrf.ru
0,"
                        Мед натуральный цветочный, клеверный «Лесные угодья»                    ",Бакалея,Мед,4.000,4.860,3.9830,https://rskrf.ru
0,"
                        Мёд натуральный акациевый «Правильный мёд»                    ",Бакалея,Мед,5.000,4.860,3.9830,https://rskrf.ru
0,"
                        Мёд донниковый Medolubov                    ",Бакалея,Мед,4.000,5.000,3.9300,https://rskrf.ru
0,"
                        Пчелиный мёд, янтарный подсолнух «Абрико»                    ",Бакалея,Мед,4.000,3.285,3.8855,https://rskrf.ru
0,"
                        «Мёд Алтайский» натуральный цветочный                    ",Бакалея,Мед,5.000,3.600,3.8800,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, фасованный Aro                    ",Бакалея,Мед,5.000,5.000,3.8750,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, монофлорный, «Липовый Башкирхан» «Берестов А.С.»                    ",Бакалея,Мед,5.000,4.685,3.7555,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, фасованный (разнотравье) «Дедушкин улей»                    ",Бакалея,Мед,5.000,5.000,3.7250,https://rskrf.ru
0,"
                        Мёд натуральный цветочный «Медовые вечера»                    ",Бакалея,Мед,5.000,4.860,3.6580,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, донниковый «Потапыч»                    ",Бакалея,Мед,4.000,4.685,3.6305,https://rskrf.ru
0,"
                        Мёд монофлорный, липовый «Медовая Кубань»                    ",Бакалея,Мед,5.000,2.085,3.5340,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, горный, светлый, серия «Дикий мёд» «Кедровый бор»                    ",Бакалея,Мед,4.000,4.860,3.4580,https://rskrf.ru
0,"
                        Мёд натуральный цветочный луговой «Маркет Перекресток»                    ",Бакалея,Мед,4.000,4.010,3.2780,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, фасованный «Крымские травы» «Медовый дом»                    ",Бакалея,Мед,4.000,3.600,3.1800,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, фасованный (акациевый) Super                    ",Бакалея,Мед,3.000,5.000,3.1250,https://rskrf.ru
0,"
                        Мёд натуральный цветочный фасованный: акациевый «Частная пасека»                    ",Бакалея,Мед,4.000,4.860,3.0580,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, монофлорный, фасованный, липовый «Каждый День»                    ",Бакалея,Мед,5.000,3.425,3.0275,https://rskrf.ru
0,"
                        Мед натуральный цветочный, фасованный «Алтайский горный» «Медовый Дом»                    ",Бакалея,Мед,4.000,3.600,2.6400,https://rskrf.ru
0,"
                        Мёд натуральный цветочный «Цвет липы» «Призвание пчеловод»                    ",Бакалея,Мед,5.000,4.055,2.0165,https://rskrf.ru
0,"
                        Мед натуральный «Просто Азбука»                    ",Бакалея,Мед,5.000,2.795,1.8385,https://rskrf.ru
0,"
                        Мёд цветочный натуральный, акациевый «ВкусВилл»                    ",Бакалея,Мед,3.000,3.600,1.4700,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, фасованный, каштановый Fine Life                    ",Бакалея,Мед,4.000,3.600,,https://rskrf.ru
0,"
                        Мёд натуральный цветочный с преобладанием гречишного Globus Vita                    ",Бакалея,Мед,0.000,2.795,,https://rskrf.ru
0,"
                        Мёд натуральный цветочный, фасованный (разнотравье) «Матушка пчела»                    ",Бакалея,Мед,5.000,5.000,,https://rskrf.ru
0,"
                        Мёд натуральный цветочный «Медовая Долина»                    ",Бакалея,Мед,4.000,4.860,,https://rskrf.ru
0,"
                        Мёд натуральный цветочный «Первым делом»                    ",Бакалея,Мед,0.000,5.000,,https://rskrf.ru
0,"
                        Мёд натуральный цветочный (разнотравье) «Просто»                    ",Бакалея,Мед,5.000,3.600,,https://rskrf.ru
0,"
                        Мёд натуральный эспарцетовый «Румела»                    ",Бакалея,Мед,5.000,3.600,,https://rskrf.ru
0,"
                        Мёд натуральный донниковый «Румела»                    ",Бакалея,Мед,5.000,3.740,,https://rskrf.ru
0,"
                        Мука блинная «По бабушкиному рецепту»                    ",Бакалея,Мука блинная,5.000,5.000,5.0000,https://rskrf.ru
0,"
                        Мука блинная «Пышечка»                    ",Бакалея,Мука блинная,5.000,4.800,4.8600,https://rskrf.ru
0,"
                        Мука блинная из муки пшеничной хлебопекарной высшего сорта «Предпортовая»                    ",Бакалея,Мука блинная,5.000,4.640,4.7480,https://rskrf.ru
0,"
                        Полуфабрикат мучных изделий, мука блинная «С. Пудовъ»                    ",Бакалея,Мука блинная,5.000,4.640,4.7480,https://rskrf.ru
0,"
                        Смесь для блинов, без глютена Garnec                    ",Бакалея,Мука блинная,5.000,4.240,4.4680,https://rskrf.ru
0,"
                        «Русский продукт», концентрат пищевой, полуфабрикат мучного изделия, блины без дрожжей, смесь для выпечки «Печем дома»                    ",Бакалея,Мука блинная,5.000,4.800,4.3600,https://rskrf.ru
0,"
                        «Бейкер Вилль», полуфабрикат для приготовления хлебобулочного и мучного кондитерского изделия, смесь мучная, блинчики по-домашнему «Волшебное дерево»                    ",Бакалея,Мука блинная,5.000,4.640,4.2480,https://rskrf.ru
0,"
                        Смесь мучная, блины «Царские» «Аладушкин»                    ",Бакалея,Мука блинная,5.000,3.920,4.2440,https://rskrf.ru
0,"
                        Полуфабрикат мучных изделий «Золотое утро»                    ",Бакалея,Мука блинная,5.000,4.260,3.9820,https://rskrf.ru
0,"
                        Пищевой концентрат; полуфабрикат мучных изделий: мука блинная                    ",Бакалея,Мука блинная,5.000,4.100,3.8700,https://rskrf.ru
0,"
                        Полуфабрикат мучной для блинов и оладий «Классические» Makfa                    ",Бакалея,Мука блинная,5.000,3.200,3.5400,https://rskrf.ru
